his	su
Field of	Campo de
field	campo
Field (of Blood)	Campo (de Sangre)
ruler	gobernante
to plan	planear
to serve	servir
well	bien
testimony	testimonio
after	después de
ear	oreja
Satan	Satanás
Joseph	José
to turn	volverse
Josech	José
wrath	ira
circumcision	circuncisión
prayer	oración
just as	así como
be weak: ill	estar enfermo
scroll	rollo
to blaspheme	blasfemar
witness	testigo
yes	sí
to owe	deber
to return	volver
service	servicio
to depart	partir
member	miembro
to repent	arrepentirse
wine	vino
poor	pobre
to read	leer
to deny	negar
to show	mostrar
covenant	pacto
what?	¿qué?
cup	copa
unclean	inmundo
able	poderoso
to have pity	tener compasión
be permitted	ser permitido
enemy	enemigo
sun	sol
priest	sacerdote
to order	ordenar
multitude	multitud
but/however	pero: sin embargo
perseverance	perseverancia
to buy	comprar
wind	viento
lamb	cordero
Augustan	Augusto
to hope/expect	esperar
to call (on)/name	invocar: nombrar
to clean	limpiar
Claudius	Claudio
Nero	Nerón
similarly	de manera semejante
boldness	valentía
darkness	tinieblas
conscience	conciencia
Tiberius	Tiberio
to shine/appear	resplandecer
to keep/guard: protect	guardar: proteger
tribe	tribu
servant	siervo
teaching	enseñanza
near	cerca
to pass by	pasar junto a
to cause to stumble	hacer tropezar
to flee	huir
to reason	razonar
Elijah	Elías
[father of Barnabus]	[padre de Bernabé]
to marry	casarse
knowledge	conocimiento
to rebuke	reprender
sacrifice	sacrificio
strong	fuerte
sword	espada
wage	jornal
encouragement	consolación
whence	¿de dónde?
once/when	una vez/cuando
Passover lamb	cordero de la Pascua
to sanctify	santificar
to harm	dañar
true	verdadero
indeed	ciertamente
from there	de allí
to govern	gobernar
daughter	hija
be strong	ser fuerte
clean	limpio
village	aldea
to conquer	vencer
rich	rico
to call to/summon	llamar: convocar
to prophesy	profetizar
cross	cruz
to finish	acabar
country	campo
to carry	llevar
to pour out	derramar
mercy	misericordia
to put on	vestirse de
festival	fiesta
since	puesto que
Jacob	Jacob
to heal	sanar
to abate	cesar
mystery	misterio
how much/many?	¿cuánto(s)?
Timothy	Timoteo
friendly/friend	amigo
widow	viuda
sister	hermana
weak: ill	enfermo
because of	a causa de
to come/be present	venir: estar presente
to grieve	entristecerse
to swear	jurar
to confess/profess	confesar
not yet	todavía no
spiritual	espiritual
sexual sin	fornicación
soldier	soldado
to understand	entender
Gentile	gentil
unrighteousness	injusticia
to look up/again	mirar arriba
ten	diez
tree	árbol
be a slave	ser esclavo
to lay/be appointed	poner: ser designado
white	blanco
to learn	aprender
cloud	nube
whither	¿adónde?
be present	estar presente
to seal	sellar
Egypt	Egipto
hearing	oído
weakness: ill	enfermedad
star	estrella
to make known	dar a conocer
select	elegido
epistle	epístola
to leave behind	dejar atrás
to accuse	acusar
repentance	arrepentimiento
mind	entendimiento
coming	venida
to fill	llenar
to watch out	estar alerta
savior	salvador
vineyard	viña
to lead	guiar
unbelieving	incrédulo
to grow	crecer
to keep watch	velar
because	porque
image	imagen
free/freedom	libre: libertad
living thing	ser viviente
to look at	mirar
altar	altar
belly/womb/stomach	vientre
to labor	fatigarse
to prevent	impedir
Macedonia	Macedonia
to hunger	tener hambre
other side	al otro lado
to clothe	vestir
vessel	vaso
to perfect	perfeccionar
to give grace	dar gracia
thousand	mil
be ignorant	ignorar
to test	probar
to select	escoger
to sleep	dormir
to appoint/conduct	designar: conducir
to workout/produce	producir
never again	nunca más
trespass	ofensa
plague/blow/wound	plaga: golpe
riches	riquezas
to sell	vender
council	concilio
military officer	oficial militar
like/as/about	como/acerca de
Isaiah	Isaías
baptism	bautismo
to reign	reinar
family: kind	familia: linaje
centurion	centurión
be active	operar
to delight	deleitarse
to approach	acercarse
to reap	segar
to minister	ministrar
to fast	ayunar
temptation/testing: testing	tentación: prueba
tent	tienda
wise	sabio
tax collector	publicano
forty	cuarenta
so great	tan grande
to obey	obedecer
clear	evidente
cause/charge	causa: cargo
uncircumcision	incircuncisión
money	dinero
parent	padres
fish	pez
wood	madera
to go/bring before	ir delante
to honor	honrar
to run	correr
hypocrite	hipócrita
to lift up	alzar
Isaac	Isaac
truly	verdaderamente
to have in full	recibir íntegro
destruction	destrucción
number	número
Asian	de Asia
farmer	labrador
petition	súplica
to judge/doubt	juzgar: dudar
gift	don
above	arriba
to catch	capturar
to permit	permitir
heavenly	celestial
labor	trabajo
stronger	más fuerte
judge	juez
creation	creación
to worry	afanarse
surely not	de ningún modo
old	viejo
to set before	poner delante
instantly	al instante
war	guerra
when?	¿cuándo?
prophecy	profecía
perfect	perfecto
to give birth to	dar a luz
necessity	necesidad
Antiochian	antioqueno
Antioch	Antioquía
blasphemy	blasfemia
chain	cadena
to climb	subir
to put on/seize	vestirse de: agarrar
treasure	tesoro
to condemn	condenar
to hold back/fast	retener firmemente
empty	vacío
to inherit	heredar
participation	participación
to hide	esconder
month	mes
building	edificio
to circumcise	circuncidar
fulfillment	cumplimiento
shepherd	pastor
often	muchas veces
to add (to)	añadir
gate	puerta
to rescue	librar
crown	corona
to trouble	turbar
golden	de oro
likewise	asimismo
to lead away	llevar fuera
revelation	revelación
to please	agradar
forgiveness	perdón
food	comida
prisoner	preso
hundred	cien
to amaze	asombrar
the next day	al día siguiente
to remain/keep on	quedarse: perseverar
ready	preparado
horse	caballo
Caesarea	Cesarea
to proclaim	proclamar
to destroy/lodge	derribar: hospedarse
to gain	ganar
hidden	escondido
to wash	lavar
near/neighbor	cercano: prójimo
river	río
Rabboni	Rabboni
root	raíz
be profitable	ser provechoso
to remain/endure	permanecer
oh!	¡oh!
to reject	rechazar
to investigate	investigar
lawlessness	iniquidad
wedding	bodas
dinner	cena
denarius	denario
to discuss	discutir
to direct	dirigir
to thirst	tener sed
to stretch out	extender
to long for	anhelar
worker	obrero
praise	alabanza
Ephesus	Éfeso
zeal	celo
foundation	fundamento
badly	mal
Capernaum	Capernaum
to descend	descender
to shut	cerrar
thief	ladrón
grief	tristeza
bridegroom	novio
never	nunca
suffering	padecimiento
to furnish occasion	dar ocasión
rock	roca
full	lleno
to look for	buscar
how	cómo
fig tree	higuera
to seize/conceive/help	asir
to commend	recomendar
seal	sello
wonders	portentos
be bold	ser valiente
to lack	faltar
to feed	apacentar
both	ambos
to recline	recostarse
to endure	soportar
to disobey	desobedecer
tomorrow	mañana
to leave	dejar
to taste	probar
acquainted with	conocer
something written	algo escrito
naked	desnudo
to beat up	golpear
to testify solemnly	testificar solemnemente
to profess	profesar
piety	piedad
thankfulness	gratitud
hair	cabello
to grasp	asir
to devour	devorar
to break	quebrar
heir	heredero
to create	crear
Lazarus	Lázaro
[father of Lazarus]	[padre de Lázaro]
robber/rebel	ladrón: rebelde
to commit adultery	adulterar
ointment	perfume
to dry	secar
such as	tal como
to liken	comparar
evening	tarde
virgin	virgen
to cease	cesar
to water	regar
to shake	sacudir
stumbling block	piedra de tropiezo
talent	talento
table	mesa
mark/example	marca: ejemplo
grass	hierba
lame	cojo
to help	socorrer
Damascus	Damasco
Jordan	Jordán
a thorn	una espina
another’s	ajeno
to report	informar
to oppose	oponerse
once	una vez
to seize	agarrar
to gaze	contemplar
reasoning	razonamiento
sixth	sexto
least	el menor
to know/understand	conocer: entender
to celebrate	celebrar
to sacrifice	sacrificar
to observe	observar
inheritance	herencia
common: shared	común
to profane	profanar
deaf/mute	sordo/mudo
lamp	lámpara
from afar	desde lejos
patience	paciencia
to divide	repartir
measure	medida
foreign	extranjero
snake	serpiente
bird	ave
to wait for/welcome	esperar: recibir
Rome	Roma
Sadducee	saduceo
earthquake	terremoto
grain	grano
to humble	humillar
Titus	Tito
to strike	herir
healthy	sano
obedience	obediencia
thoughtful	prudente
nature	naturaleza
pig	puerco
behaviour	conducta
Andrew	Andrés
from above/again	de arriba: de nuevo
be demonised	estar endemoniado
come	ven
to dispute	disputar
to spread/surpass	extenderse: sobresalir
dragon	dragón
be astonished	estar maravillado
charity	amor
to mock	burlarse
six	seis
to send out/away	enviar fuera
outside	afuera
to seek after	buscar
leaven	levadura
harvest	cosecha
smoke	humo
to dishonor	deshonrar
to come to	acercarse
to complete	completar
to steal	hurtar
henceforth	de aquí en adelante
Martha	Marta
foolish	necio
Nazareth	Nazaret
to instruct	instruir
maidservant	sierva
tradition	tradición
Silvanus	Silvano
co-worker	colaborador
to decease	fallecer
precious	precioso
way	camino
to obtain/happen	obtener: suceder
later	después
Festus	Festo
to separate/leave	separarse: partir
Highest	Altísimo
Agrippa	Agripa
unjust	injusto
rooster	gallo
to give rest	dar reposo
ancient	antiguo
wineskin	odre
palace/courtyard	palacio: patio
one who baptizes	el que bautiza
to torture: anguish	atormentar: angustiar
Bethany	Betania
judgement seat	tribunal
to cry out	clamar
plan	plan
thunder	trueno
hell: Gehenna	infierno: Gehena
a knee	rodilla
net	red
custom	costumbre
to look into/upon	escudriñar
to lead out	sacar fuera
inwardly	por dentro
Zebedee	Zebedeo
[wife of Zebedee]	[esposa de Zebedeo]
Thomas	Tomás
reed/stick/pen	caña: pluma
to burn	quemar
pride	soberbia
lot	suerte
called	llamado
to join	unirse
bed	cama
greatly	grandemente
hunger	hambre
lampstand	candelero
Magdalene	Magdalena
especially	especialmente
young man	joven
tooth	diente
householder	padre de familia
vision	visión
region	región
to refuse/excuse	rehusar: excusarse
more excessively	en más exceso
flow	fluir
to arrest/catch	prender
to multiply	multiplicar
be rich	ser rico
prostitute	prostituta
purpose	propósito
early	temprano
to inquire	informarse
colt	potro
rod	vara
to sound a trumpet	tocar trompeta
Portico	pórtico
to pity	compadecerse
diligence	diligencia
to establish	establecer
to hold/oppress	sujetar: oprimir
three times	tres veces
be healthy	estar sano
high	alto
bowl	escudilla
to murder	asesinar
gold	oro
to lie	mentir
Babylon	Babilonia
Olivet	Monte de los Olivos
Solomon	Salomón
marketplace	plaza
Ananias	Ananías
east	oriente
unbelief	incredulidad
eating	el comer
be full	estar lleno
teardrop	lágrima
deceit	engaño
free gift	don gratuito
to allow	permitir
idol	ídolo
twenty	veinte
to bring in	introducir
olive oil	aceite de oliva
freedom	libertad
be ashamed of	avergonzarse de
to fall/press upon	caer sobre
to visit/care for	visitar: cuidar
Zechariah	Zacarías
be eager	esforzarse
to make alive	vivificar
to bury	sepultar
to die/be dead	morir: estar muerto
to kindle/burn	encender
evil	mal
to prepare	preparar
horn	cuerno
branch	renuevo
calling	llamamiento
lake	lago
long/distant	largo/distante
to measure	medir
illness	enfermedad
this	este
united	unidos
to name	nombrar
to pass	pasar
to shepherd	apacentar
thing	cosa
trumpet	trompeta
affection/entrails	entrañas: afecto
kindred	parientes
very	muy
to split	dividir
thirty	treinta
under	debajo de
to plant	plantar
to illuminate	iluminar
worse than	peor que
tunic	túnica
to use	usar
false prophet	falso profeta
Tyre	Tiro
Most Holy Place	Lugar Santísimo
Holy Place	Lugar Santo
Samaria	Samaria
holiness	santidad
hell: Hades	infierno: Hades
unable	incapaz
impurity	inmundicia
together	juntos
to carry up	llevar arriba
lawless	sin ley
to get back	recuperar
Apollos	Apolos
to defend oneself	defenderse
redemption	redención
debauchery	lascivia
salutation	saludo
to remove	quitar
to separate	separar
Achaia	Acaya
book	libro
master	maestro
righteous act	acto de justicia
persecution	persecución
to fall out	caer
ninth (hour)	novena (hora)
liable for	culpable de
from here	de aquí
to agree	concordar
to give/deliver	dar: entregar
