whom	quien
to be incensed	encenderse en ira
to give thanks	dar gracias
side	lado
side: west	lado: occidente
joy	gozo
unblemished: Thummim	sin defecto: Tumim
to buy	comprar
be appalled	estar pasmado
arm	brazo
Jonathan	Jonatán
Jehonathan	Jehonatán
Jonadab	Jonadab
to pray	orar
transgression	transgresión
male	varón
Chaldean	caldeo
to learn: learn	aprender
here	aquí
be complete	completarse
god	dios
beaten	batido
commander	comandante
Baal of Peor	Baal-peor
far	lejos
charge	guardia
treasure	tesoro
to advise	aconsejar
plague	plaga
to lighten	aligerar
darkness	tinieblas
Jehoshaphat	Josafat
livestock	ganado
to rule	gobernar
Kidron	Cedrón
contribution	contribución
sign	señal
iron	hierro
pasture	pastizal
goat	cabra
Jew	judío
East (Gate)	Puerta de Oriente
east	oriente
sanctuary	santuario
to afflict	afligir
to ride	cabalgar
allotted	repartido
to sell	vender
to sing	cantar
Elijah	Elías
lion	león
Reubenite	rubenita
Gad	Gad
Dibon	Dibón
temple: palace	templo: palacio
to help	socorrer
Leshem	Lesem
Dan	Dan
Plain (of Jericho)	Llanura (de Jericó)
talent	talento
why?	¿por qué?
witness	testigo
bird	ave
near	cerca
trumpet	trompeta
table	mesa
Eleazar	Eleazar
to cry out	clamar
shoulder	hombro
to stand	estar en pie
spoil	botín
Abimelech	Abimelec
possession	posesión
Ahimelech	Ahimelec
Achish	Aquis
hill	collado
Gibeathite	gibeatita
(Gilgal)-haaraloth	(Gilgal)-haaralot
Kiriath-arba	Cariath-arba
Hebronite	hebronita
Valley (of Hebron)	Valle (de Hebrón)
favor	gracia
to wonder	maravillarse
to blow	soplar
Luz	Luz
Bethel	Bet-el
fool	necio
to anoint	ungir
to rouse	despertar
bow	arco
to grasp	asir
cedar	cedro
Shibah	Siba
blessing	bendición
vanity	vanidad
drink offering	libación
to contend	pleitear
Abner	Abner
food offering	ofrenda de alimentos
belly: body	vientre: cuerpo
Rocks (of Goats)	Peñas (de las Cabras)
full	lleno
to hide	esconder
to spread	tender
rock	peña
grave	sepultura
end	fin
to curse	maldecir
portion	porción
maiden	doncella
Zedekiah	Sedequías
to prosper	prosperar
horn	cuerno
to tear	rasgar
to heal	sanar
latter	último
Nile	Nilo
stream	arroyo
afflicted	afligido
branch: calamus	rama: cálamo
remnant	resto
to set: consider	poner: considerar
evil: trouble	mal: aflicción
Arbathite	arbatita
mighty	poderoso
to form: plan	formar: idear
(Sea of) the Arabah	(Mar de) la Arabá
Mordecai	Mardoqueo
Arabah	Arabá
plain	llanura
Shechem	Siquem
maidservant	sierva
to bind	atar
dream	sueño
be gracious	tener misericordia
reproach	afrenta
Nebuchadnezzar	Nabucodonosor
Job	Job
Valley (of Elah)	Valle (de Elá)
Elisha	Eliseo
Valley (of Beracah)	Valle (de Beraca)
(Ge)-harashim	(Ge)-harasim
Valley (Gate)	Puerta del Valle
Valley	Valle
valley	valle
Metheg-ammah	Meteg-amma
Hamon-gog (Valley)	Hamon-gog (valle)
Valley (of Jezreel)	Valle (de Jezreel)
(Valley of) Iphtahel	(Valle de) Iptahel
Lebanon	Líbano
(Mount) Lebanon	(Monte) Líbano
(Valley of) Lebanon	(Valle de) el Líbano
(Valley of) Salt	(Valle de) la Sal
to look	mirar
Valley (of Achor)	(Valle de) Acor
(Emek)-keziz	(Emek)-keziz
(Valley of) Zeboim	(Valle de) Zeboim
Zephathah	Zefata
Valley (of Rephaim)	(Valle de) Refaim
burning-place	lugar de quema
nine	nueve
socket	base
Jehu	Jehú
Midian	Madián
Midianite	madianita
to inherit	heredar
sixty	sesenta
to finish	acabar
beside	junto a
beloved: male relative	amado: pariente
strong	fuerte
to wither	marchitarse
to rebuke	reprender
Ir-hatmarim	Ir-hatmarim
fourth	cuarto
strife	contienda
to waste	asolar
to contemplate	contemplar
Hadassah	Hadassa
to tread	pisar
to cease	cesar
to stumble	tropiezar
to plant	plantar
incense	incienso
to water: cupbearer	regar: copero
prayer	oración
needy	necesitado
way	camino
Haman	Amán
to sow	sembrar
afraid	temeroso
curtain	cortina
to watch	velar
crag	peñasco
Sela	Sela
hell: Sheol	infierno: Seol
Bashan	Basán
Josiah	Josías
salvation	salvación
tribute	tributo
testimony	testimonio
smell	olor
might	poder
honey	miel
wood	madera
province	provincia
plot	trama
unleavened bread	pan sin levadura
dishonor	deshonra
left: north	izquierda: norte
widow	viuda
New (Gate)	Puerta Nueva
new	nuevo
violence	violencia
to to be dismayed	estar desolado
board	tablón
Asa	Asa
without	sin
to break up/open	romper: abrir
discipline	disciplina
to banish	desterrar
fine flour	flor de harina
to ransom	rescatar
first: best	primero: el mejor
Rehoboam	Roboam
camel	camello
pestilence	pestilencia
ring	anillo
to provoke	provocar
tomorrow	mañana
weight	peso
for the sake of	por causa de
Passover	Pascua
tooth	diente
beauty	hermosura
be willing	querer
ephod	efod
vine	vid
woe!	¡ay!
here/thus	aquí: así
to see	ver
Hittite	hitita
Ishmaelite	ismaelita
Ishmael	Ismael
shield	escudo
iniquity	iniquidad
trouble	angustia
to cry	dar voces
to remove	quitar
to accept	aceptar
acceptance	aceptación
to go astray	extraviarse
to act treacherously	ser desleal
virgin	virgen
idol	ídolo
Jehoiada	Jehoyada
Washer's	del Lavandero
to wash	lavar
to extend	alargar
height	altura
carcass	cadáver
to overlay	recubrir
Rachel	Raquel
sackcloth	cilicio
praise	alabanza
blue	azul
word	palabra
to cleave	unirse
poor	pobre
to strike	golpear
Noah	Noé
to murder	asesinar
Gibeah	Gibea
Joash	Joas
wound	herida
Naphtali	Neftalí
Zadok	Sadoc
Kedesh	Cedes
perhaps	quizá
last	postrero
to swallow up	tragar
pride	soberbia
Damascus	Damasco
to pour: firm	derramar: firme
chamber	aposento
to overtake	alcanzar
to support	sostener
to fall on	caer sobre
to slacken	aflojar
to take captive	cautivar
Balak	Balac
captivity	cautiverio
to drive out: divorce	echar: repudiar
milk	leche
fifth	quinto
(Hananel) Tower	Torre (de Hananel)
by day	de día
tablet	tabla
Tower (of the Hundred)	Torre de los Cien
(Tower of) the Ovens	(Torre de) los Hornos
tower	torre
seat	asiento
to rebel	rebelarse
leader	jefe
dread	espanto
to work	trabajar
to break through	abrir brecha
shadow	sombra
breaking	quebranto
vanity: vain	vanidad: vano
Ahaz	Acaz
food	comida
Benaiah	Benaías
Garden (of Uzza)	Huerto (de Uza)
garden	huerto
spear	lanza
arrow	saeta
division	reparto
lampstand	candelero
chariot	carro
bed	cama
loin	lomo
foreign	extranjero
eunuch	eunuco
to listen	escuchar
sheep	oveja
Simeon	Simeón
Shimeon	Simeón
scarlet	carmesí
where?	¿dónde?
guilt (offering)	ofrenda por la culpa
to conceive	concebir
to overthrow	derribar
to flow: waste away	fluir: consumirse
to gird	ceñir
child	niño
Jebusite	jebuseo
fear	temor
Jesse	Isaí
soothing	apacible
Nathan	Natán
to forgive	perdonar
to restrain	retener
produce	producto
to ambush	emboscar
Asherite	aserita
to plunder	saquear
Lehem	Lehem
Bethlehem	Belén
be wasted	ser asolado
to discipline	castigar
beautiful	hermoso
to clear	declarar inocente
Shimei	Simei
Ai	Hai
to strip	desnudar
jealousy	celos
to conspire	conspirar
Shemaiah	Semaías
understanding	entendimiento
ephah	efa
to separate	separar
to despise	menospreciar
security	seguridad
Jerubbesheth	Jerubeset
Zebulunite	zabulonita
to spare	apiadarse
desolation	desolación
be pleasing	agradar
Issachar	Isacar
heavy	pesado
yoke	yugo
to transgress	prevaricar
to justify	justificar
street/plaza	calle: plaza
to mourn	estar de luto
Amaziah	Amasías
Asherah	Asera
bar	barra
to found	fundar
rain	lluvia
Ramathaim-zophim	Ramataim-zofim
Mizpah	Mizpa
how	cómo
vow	voto
to leave	dejar
Sodom	Sodoma
Amalekite	amalecita
Amalek	Amalec
neck	cuello
to shout	aclamar
to have compassion	tener compasión
compassion	compasión
horror: appalled	espanto: pasmo
Samson	Sansón
Sarai	Sarai
blessed	bienaventurado
Gibbar	Gibbar
Gilgal	Gilgal
Galilee	Galilea
sufficiency	suficiencia
Jehoiakim	Joaquim
orphan	huérfano
lyre	arpa
to refuse	rehusar
fullness	plenitud
to shake	sacudir
be distressed	estar angustiado
fig	higo
love	amor
coastland	costa: isla
purple	púrpura
well	pozo
high	alto
threshing floor	era
(Mount of) Olives	(Monte de) los Olivos
olive	oliva
bosom: secret	seno: secreto
to tremble	temblar
burning anger	ira ardiente
uncleanness	inmundicia
opposite	enfrente de
bitter	amargo
Sihon	Sehón
concubine	concubina
Tyrian	de Tiro
Ramah	Rama
Shimeite	simeíta
to quiet	sosegar
wheel	rueda
faithfulness	fidelidad
to gather/restrain/fortify	recoger/contener/fortalecer
to scatter	dispersar
Heshbon	Hesbón
to wait: hope	esperar
be humble	humillarse
Queen (of Sheba)	Reina (de Sabá)
queen	reina
be unfaithful	ser infiel
Second [Quarter]	Segundo [distrito]
to test: try	probar
Zobah	Soba
leprosy	lepra
severe	riguroso
Portico	pórtico
back	espalda
Ahaziah	Acazías
to strengthen	fortalecer
be proper	ser recto
pleasure	contentamiento
artificer	artífice
Jezreel	Jezreel
Jezreelitess	jezreelita
star	estrella
Calebite	calebita
Carmi	Carmi
daughter-in-law	nuera
Leah	Lea
fortification	fortaleza
Hebrew	hebreo
be jealous	tener celos
gatekeeper	portero
she-ass	asna
to exult	regocijarse
to steal	hurtar
grain	grano
Daniel	Daniel
visibility	vista
precious	precioso
be humiliated	ser avergonzado
Mica	Mica
Micah	Miqueas
Micaiah	Micaías
to draw	sacar
proverb	proverbio
Sinai	Sinaí
calf	becerro
Eli	Eli
uncircumcised	incircunciso
to oppress	oprimir
tenth	diezmo
shout	grito
Asaph	Asaf
to light	encender
guardsman	guardián
to give	dar
to sustain	sustentar
Lot	Lot
wonder	portento
cave	cueva
to lead	guiar
affliction	aflicción
inner	interior
punishment	castigo
Rabshakeh	Rabsaces
be wicked	ser impío
to laugh	reír
Shilonite	silonita
eighty	ochenta
new wine	mosto
Ahasuerus	Asuero
to dismay	desolar
to saddle/tie	ensillar/atar
Hilkiah	Helcías
for nothing	de balde
to suckle	amamantar
kind	bondadoso
to avenge	vengar
close	cercano
riches	riquezas
to spring	brotar
curse	maldición
be angry	enojarse
pomegranate	granada
barley	cebada
world	mundo
be guilty	ser culpable
window	ventana
goodness	bondad
Azariah	Azarías
Iphtah	Ipta
Jephthah	Jefté
kidney	riñón
bowl	escudilla
morrow	el día siguiente
to commit adultery	adulterar
Nun	Nun
fury	furia
gazelle	gacela
to refine	refinar
Rebekah	Rebeca
abyss	abismo
wave offering	ofrenda mecida
Abiathar	Abiatar
